t_ms,seg00,seg01,seg02,seg03,seg04,seg05,seg06,seg07,seg08,seg09,seg10,seg11,seg12,seg13,seg14,seg15,seg16,seg17,seg18,seg19,seg20,seg21,seg22,seg23
2685.133,-0.331751,0.095463,0.242937,0.259862,0.318448,0.274299,0.190740,0.070584,-0.033382,-0.182586,-0.330879,-0.443821,-0.540136,-0.618606,-0.676384,-0.670377,-0.650699,-0.557859,-0.398761,-0.214114,-0.065271,0.091674,0.268717,0.478096
2719.558,-0.245920,0.132805,0.256056,0.258325,0.286817,0.230750,0.135990,0.014701,-0.092416,-0.236152,-0.384328,-0.492708,-0.576166,-0.638671,-0.686390,-0.663543,-0.621622,-0.510869,-0.352759,-0.163704,-0.008789,0.150865,0.319629,0.516772
2753.982,-0.276972,0.108278,0.240898,0.249744,0.288117,0.228074,0.135359,0.011939,-0.088732,-0.232607,-0.376894,-0.480474,-0.566124,-0.629603,-0.675412,-0.655056,-0.615983,-0.508669,-0.345608,-0.166238,-0.010632,0.146561,0.316479,0.518139
2788.407,-0.308815,0.082626,0.216501,0.231288,0.284845,0.236756,0.153766,0.040837,-0.053142,-0.187343,-0.323025,-0.426393,-0.517002,-0.587705,-0.639162,-0.631928,-0.610135,-0.519501,-0.365771,-0.189588,-0.038951,0.114460,0.281067,0.480519
2822.832,-0.291183,0.109995,0.239817,0.252139,0.306174,0.270991,0.191228,0.083798,-0.018694,-0.155173,-0.298621,-0.414356,-0.511444,-0.591336,-0.653642,-0.654107,-0.642868,-0.558774,-0.413603,-0.223731,-0.076244,0.079901,0.249188,0.449779
2857.257,-0.285621,0.086845,0.211534,0.231267,0.297764,0.262378,0.190362,0.094142,0.007233,-0.113844,-0.244851,-0.354987,-0.459397,-0.543177,-0.607614,-0.621446,-0.626402,-0.559950,-0.421068,-0.245416,-0.095693,0.054781,0.216713,0.417579
2891.681,-0.267069,0.113528,0.235649,0.250892,0.311391,0.280978,0.207187,0.110118,0.013908,-0.112997,-0.252523,-0.370880,-0.476356,-0.562898,-0.631918,-0.644729,-0.648844,-0.579182,-0.442469,-0.255325,-0.106718,0.047238,0.212439,0.413896
2926.106,-0.283589,0.078923,0.204301,0.238061,0.333384,0.312188,0.256787,0.178864,0.104148,-0.004994,-0.131748,-0.251198,-0.380442,-0.486902,-0.570637,-0.617134,-0.663302,-0.633126,-0.507693,-0.338946,-0.189407,-0.043764,0.117069,0.329389
2960.531,-0.688500,-0.078336,0.147224,0.195854,0.325043,0.313406,0.252929,0.122312,0.022487,-0.143398,-0.276350,-0.378693,-0.472619,-0.567594,-0.626143,-0.633811,-0.635990,-0.561974,-0.392011,-0.219542,-0.100514,0.047644,0.243213,0.460258
2994.956,-0.458825,0.009717,0.173067,0.211446,0.321411,0.311790,0.256993,0.162064,0.076094,-0.052263,-0.178562,-0.291616,-0.404292,-0.506595,-0.581378,-0.613808,-0.644944,-0.599897,-0.462287,-0.288161,-0.154969,-0.008768,0.164023,0.372792
3029.381,-0.468586,-0.018447,0.142120,0.185651,0.304327,0.293915,0.244407,0.156863,0.083498,-0.032321,-0.146307,-0.251582,-0.365624,-0.467537,-0.540494,-0.579760,-0.619143,-0.584730,-0.450969,-0.289077,-0.155399,-0.014104,0.152041,0.357983
3063.805,-0.278041,0.100665,0.216169,0.230079,0.292673,0.272309,0.203351,0.115040,0.021068,-0.096011,-0.227638,-0.344397,-0.446745,-0.533198,-0.603192,-0.619900,-0.629706,-0.566793,-0.439992,-0.250760,-0.107107,0.044862,0.204387,0.396602
3098.230,-0.232264,0.097335,0.197465,0.221757,0.305338,0.295519,0.242777,0.179987,0.105050,0.012559,-0.106913,-0.227866,-0.352186,-0.455777,-0.541769,-0.590896,-0.640937,-0.616295,-0.508932,-0.331110,-0.184515,-0.039333,0.110118,0.306160
3132.655,-0.074980,0.166854,0.230719,0.240104,0.289733,0.262008,0.197649,0.138766,0.064465,-0.018184,-0.140878,-0.261951,-0.383353,-0.475134,-0.556467,-0.595864,-0.631384,-0.595392,-0.491630,-0.311777,-0.151357,-0.003135,0.135769,0.325404
3167.080,-0.279548,0.077313,0.188967,0.222548,0.327249,0.330413,0.287710,0.230783,0.158168,0.065893,-0.052723,-0.179241,-0.314390,-0.431427,-0.527643,-0.592597,-0.663484,-0.656158,-0.553641,-0.376310,-0.234796,-0.091709,0.061469,0.264003
3201.504,0.051315,0.221523,0.256104,0.250597,0.265962,0.218272,0.140199,0.079618,0.004549,-0.072306,-0.197402,-0.314598,-0.427228,-0.502921,-0.574505,-0.597571,-0.610495,-0.556216,-0.451049,-0.270246,-0.097855,0.053495,0.183580,0.365375
